maintenance_id|equipment_id|equipment_name|department_id|ward_id|maintenance_date|status|downtime_hours|maintenance_cost
42|86|MRI|3|33|2020-09-20|Operational|30|6748
43|18|MRI|17|39|2024-10-18|Down|1|7001
44|183|Ventilator|1|14|2025-02-02|Down|5|17777
45|92|Ventilator|6|26|2022-03-02|Operational|32|19462
46|100|Ventilator|8|49|2023-07-14|Operational|12|4020
47|75|Ultrasound|17|28|2024-12-28|Down|43|7632
48|161|Ultrasound|6|45|2024-01-02|Down|8|8622
49|18|XRay|3|37|2020-10-13|Down|4|9390
50|22|XRay|10|49|2025-04-18|Operational|33|3476
51|165|Ultrasound|15|41|2024-10-28|Down|3|14999
52|153|ICU Monitor|8|47|2022-08-24|Down|63|18084
53|146|ECG|18|16|2022-03-16|Down|3|18680
54|65|MRI|2|26|2020-09-03|Down|54|7686
55|14|Ventilator|8|14|2020-09-28|Operational|61|9264
56|89|Ventilator|20|38|2022-07-15|Down|4|12067
57|14|Ventilator|1|42|2023-08-15|Operational|25|17378
58|24|XRay|15|10|2025-04-14|Down|52|3653
59|51|Ultrasound|8|12|2023-09-18|Down|13|13140
60|178|Ventilator|6|27|2022-06-03|Down|28|13665
61|173|Ventilator|20|21|2024-08-06|Down|34|942
62|148|ECG|10|30|2024-05-10|Down|34|16638
63|154|XRay|8|30|2022-05-16|Operational|44|19262
64|167|MRI|20|5|2021-10-29|Down|32|15184
65|55|MRI|9|7|2022-01-17|Operational|14|7539
66|3|Ultrasound|16|22|2021-06-08|Down|5|2783
67|14|ECG|17|5|2024-06-24|Down|42|14038
68|12|XRay|10|15|2020-10-17|Down|42|17959
69|7|Ultrasound|8|50|2024-03-18|Operational|57|993
70|122|Ultrasound|15|20|2024-04-02|Operational|23|7993
71|91|MRI|13|9|2025-05-16|Operational|34|15591
72|125|Ultrasound|12|8|2022-06-02|Down|11|1926
73|157|MRI|9|1|2023-02-27|Operational|16|15880
74|55|Ultrasound|4|49|2022-05-13|Operational|42|11910
75|167|MRI|5|7|2023-05-25|Down|63|8888
76|36|ICU Monitor|17|42|2021-11-10|Down|31|18271
77|13|ICU Monitor|8|28|2022-01-02|Down|69|11573
78|195|ICU Monitor|10|26|2023-12-25|Operational|18|13715
79|13|Ultrasound|14|49|2025-05-24|Operational|13|6839
80|194|Ventilator|13|13|2020-12-07|Operational|33|17411
81|143|ECG|4|7|2024-02-20|Down|41|18123
82|135|MRI|13|7|2022-02-28|Down|16|14690
83|141|Ultrasound|15|17|2024-04-28|Down|42|9410
84|7|MRI|4|31|2024-09-16|Down|5|4164
85|164|ECG|17|33|2024-04-19|Down|58|5221
86|163|Ultrasound|4|21|2024-05-29|Operational|10|9249
87|23|Ventilator|20|29|2021-05-04|Down|24|6794
88|7|Ultrasound|11|1|2024-05-19|Down|67|7631
89|179|Ventilator|11|46|2022-06-15|Down|18|17240
90|70|ECG|3|6|2022-11-05|Operational|43|6653
91|37|Ultrasound|5|47|2024-11-08|Operational|15|15628
92|89|XRay|16|17|2020-02-09|Operational|30|4210
93|193|XRay|19|46|2024-11-24|Operational|34|2275
94|39|Ventilator|10|30|2024-05-06|Operational|55|15804
95|174|Ultrasound|20|8|2022-01-30|Operational|36|9084
96|193|MRI|2|24|2022-02-08|Down|59|14450
97|191|ICU Monitor|9|6|2022-09-22|Down|56|12209
98|103|Ventilator|4|6|2022-09-06|Down|72|1183
99|194|XRay|17|11|2024-06-16|Operational|14|4815
100|145|Ultrasound|2|23|2021-09-09|Down|21|9928
101|139|Ultrasound|3|20|2021-12-05|Operational|59|1527
102|64|MRI|8|40|2022-07-26|Down|9|13339
103|184|Ventilator|9|41|2020-05-31|Operational|20|16032
104|181|MRI|11|45|2025-05-09|Operational|62|2784
105|140|ICU Monitor|8|2|2025-01-09|Down|69|5060
106|65|XRay|20|12|2021-06-18|Down|67|13718
107|105|MRI|14|32|2022-11-07|Down|38|6329
108|61|ICU Monitor|6|39|2023-02-18|Down|34|14452
109|155|ICU Monitor|5|14|2020-01-05|Operational|0|959
110|131|ECG|2|12|2024-10-26|Down|26|17483
111|45|XRay|18|16|2020-08-06|Down|59|16365
112|92|Ultrasound|10|9|2023-09-05|Operational|21|7604
113|12|ECG|1|14|2023-04-22|Operational|7|15318
114|36|XRay|6|35|2020-02-23|Down|30|14565
115|133|Ventilator|14|38|2023-11-30|Down|25|4713
116|199|XRay|18|12|2024-06-16|Operational|10|11031
117|121|MRI|12|37|2023-12-07|Down|19|14574
118|106|XRay|6|45|2021-02-28|Operational|20|16485
119|189|Ultrasound|14|42|2021-06-17|Down|61|14007
120|55|XRay|1|31|2020-04-30|Operational|61|11079
121|101|ICU Monitor|16|38|2025-02-26|Operational|56|1488
122|186|ICU Monitor|3|34|2020-04-24|Operational|11|19466
123|138|Ventilator|5|20|2023-11-06|Down|0|11928
124|135|Ultrasound|6|17|2025-02-13|Operational|22|11896
125|45|ICU Monitor|9|29|2025-03-25|Down|12|15706
126|118|XRay|18|10|2022-03-16|Operational|62|9003
127|147|XRay|9|47|2020-06-29|Down|38|18745
128|168|Ventilator|5|41|2022-04-27|Down|58|9867
129|3|XRay|12|5|2025-05-08|Down|36|9520
130|190|MRI|5|17|2020-05-25|Down|57|6260
131|59|XRay|2|40|2023-04-16|Down|62|5771
132|63|MRI|8|6|2022-02-12|Down|20|5978
133|45|Ultrasound|8|14|2022-02-23|Down|52|13909
134|129|Ventilator|11|19|2023-04-23|Down|53|4453
135|41|MRI|8|39|2020-10-27|Operational|31|12943
136|115|MRI|5|49|2020-02-24|Down|69|9184
137|11|ICU Monitor|20|17|2023-09-18|Down|21|3117
138|133|XRay|10|6|2025-01-01|Down|32|19397
139|113|Ultrasound|11|40|2022-12-07|Operational|38|15509
140|81|Ventilator|7|18|2021-04-09|Down|28|10487
141|46|ECG|12|11|2023-07-26|Operational|57|17308
142|30|Ultrasound|6|28|2024-01-28|Down|11|15912
143|79|ECG|8|33|2024-04-16|Down|25|11010
144|157|XRay|7|15|2023-10-16|Operational|48|4846
145|127|XRay|6|15|2021-01-10|Down|38|18618
146|166|XRay|11|48|2023-12-24|Down|2|10567
147|157|XRay|2|6|2025-04-15|Down|27|12423
148|7|ICU Monitor|20|45|2024-08-21|Operational|49|744
149|47|Ventilator|17|39|2022-04-15|Down|58|6858
150|191|Ultrasound|17|43|2020-02-24|Down|23|1658
151|17|ECG|8|46|2021-06-24|Down|17|8624
152|100|ECG|7|40|2020-09-08|Down|43|2995
153|35|Ventilator|10|17|2024-01-28|Down|18|10286
154|64|Ultrasound|9|34|2023-01-19|Down|31|1672
155|26|MRI|11|42|2021-08-26|Down|70|6320
156|123|XRay|4|14|2022-11-17|Down|68|8967
157|134|ECG|20|5|2023-05-13|Operational|44|12147
158|198|MRI|6|38|2024-07-15|Down|21|8332
159|118|MRI|14|25|2024-10-07|Down|47|14014
160|191|Ultrasound|9|13|2024-09-16|Operational|47|7339
161|75|XRay|5|45|2022-09-17|Operational|11|3517
162|168|MRI|5|25|2020-07-31|Down|64|16932
163|143|Ultrasound|5|39|2024-06-28|Operational|57|11352
164|121|Ultrasound|17|3|2024-05-26|Down|45|6579
165|26|Ultrasound|1|33|2021-12-14|Down|39|19710
166|116|XRay|4|6|2020-02-11|Down|20|2575
167|10|Ultrasound|17|37|2020-11-08|Down|23|15053
168|121|ICU Monitor|1|26|2021-10-29|Operational|27|19682
169|136|Ventilator|19|36|2023-03-12|Operational|41|8467
170|99|ICU Monitor|5|5|2021-09-21|Down|60|18704
171|85|MRI|2|32|2022-08-13|Down|41|4168
172|148|XRay|20|11|2023-10-13|Operational|72|11812
173|6|Ultrasound|15|33|2023-08-09|Down|48|10754
174|111|ECG|13|17|2023-05-22|Down|4|10377
175|13|Ultrasound|14|35|2024-04-19|Down|45|3878
176|142|MRI|14|15|2022-09-08|Operational|13|15727
177|166|Ultrasound|13|5|2020-07-01|Down|39|10534
178|181|Ventilator|4|39|2022-08-22|Down|36|16045
179|132|Ventilator|4|37|2025-03-22|Operational|42|17708
180|181|ECG|19|32|2020-12-17|Operational|4|6531
181|58|ECG|18|26|2022-02-01|Down|7|5614
182|22|ICU Monitor|19|9|2022-10-31|Operational|29|4916
183|43|XRay|20|18|2021-10-04|Down|50|3287
184|95|Ventilator|12|11|2024-05-20|Operational|48|939
185|113|ECG|7|17|2022-05-28|Operational|30|10063
186|108|Ultrasound|12|1|2024-03-08|Down|28|1361
187|86|MRI|11|35|2024-04-12|Operational|62|19099
188|156|MRI|13|28|2024-12-09|Operational|70|7188
189|77|Ventilator|17|11|2024-02-15|Operational|30|12017
190|98|ECG|18|19|2021-02-14|Down|22|9717
191|179|ECG|10|47|2024-07-02|Down|14|10931
192|160|MRI|9|28|2020-08-08|Operational|25|3620
193|84|Ultrasound|12|47|2020-09-12|Operational|69|9251
194|99|ECG|13|41|2024-12-03|Down|66|14250
195|192|MRI|12|40|2022-09-07|Down|12|12698
196|16|Ventilator|5|21|2025-01-19|Operational|63|12680
197|197|Ultrasound|17|7|2023-09-20|Down|58|5339
198|55|ICU Monitor|2|24|2023-10-04|Operational|32|9322
199|175|Ultrasound|3|44|2024-09-12|Down|53|17248
200|145|Ventilator|7|37|2023-05-03|Operational|63|17233
201|155|ECG|19|5|2023-08-03|Operational|61|15049
202|23|ICU Monitor|6|1|2020-09-05|Operational|36|4665
203|130|MRI|13|24|2024-12-05|Down|16|7082
204|167|ECG|13|38|2020-06-08|Down|19|2373
205|124|Ventilator|13|38|2025-03-20|Operational|60|12354
206|54|MRI|3|3|2020-09-07|Operational|0|16786
207|27|Ultrasound|13|6|2022-10-30|Operational|42|10423
208|30|MRI|18|24|2024-11-03|Down|38|3668
209|179|MRI|2|32|2025-03-26|Operational|68|11893
210|97|XRay|5|6|2024-11-16|Operational|49|15696
211|18|ECG|14|18|2021-06-25|Down|54|7102
212|54|ICU Monitor|20|5|2022-10-21|Operational|16|8678
213|71|ECG|15|14|2025-03-03|Operational|7|1840
214|147|ECG|14|31|2024-12-21|Operational|2|11754
215|178|Ventilator|4|30|2022-09-17|Down|28|6693
216|183|ICU Monitor|13|45|2022-04-11|Down|2|5029
217|83|XRay|12|45|2021-05-08|Operational|60|5955
218|171|ICU Monitor|14|38|2021-08-07|Operational|28|12301
219|25|ECG|10|20|2023-11-03|Operational|12|13988
220|98|MRI|5|6|2022-07-04|Down|52|18880
221|163|Ventilator|15|40|2022-11-14|Operational|26|16633
222|123|Ultrasound|19|47|2020-08-26|Down|58|18227
223|162|MRI|16|19|2024-01-04|Operational|27|11056
224|136|Ventilator|12|15|2023-10-17|Operational|55|3548
225|200|Ultrasound|4|27|2020-08-28|Down|36|7715
226|121|MRI|11|27|2023-06-16|Down|25|17217
227|16|MRI|12|49|2020-01-23|Operational|62|11571
228|44|MRI|8|5|2022-03-25|Down|2|18904
229|156|ECG|10|10|2021-12-31|Operational|48|15056
230|158|ECG|15|4|2020-04-25|Down|59|3044
231|110|MRI|7|26|2022-09-08|Operational|32|12065
232|111|Ventilator|18|34|2022-02-08|Down|9|7398
233|15|XRay|3|42|2022-07-23|Down|28|16865
234|196|MRI|15|39|2021-10-02|Operational|71|14270
235|45|ECG|9|16|2023-08-03|Operational|10|9419
236|146|ECG|9|29|2021-08-26|Down|32|10868
237|107|XRay|20|22|2024-10-18|Down|67|6308
238|171|Ultrasound|9|38|2021-02-12|Down|6|14476
239|12|XRay|9|29|2022-09-05|Operational|13|17799
240|13|Ventilator|13|34|2021-06-24|Down|10|11637
241|109|ECG|6|31|2021-04-03|Operational|36|15692
242|95|Ultrasound|8|43|2020-05-01|Operational|24|6848
243|67|Ultrasound|2|16|2023-04-26|Operational|46|11636
244|109|Ventilator|14|37|2025-06-05|Operational|10|14645
245|46|MRI|1|21|2024-04-22|Down|53|2337
246|155|Ultrasound|4|31|2021-08-03|Operational|31|17834
247|138|ECG|17|4|2022-01-02|Operational|1|16681
248|133|Ventilator|9|35|2022-04-21|Down|68|3574
249|136|ECG|4|33|2024-05-21|Down|12|6832
250|29|XRay|19|43|2021-10-12|Down|29|4422
251|121|Ultrasound|7|43|2020-10-30|Operational|51|11702
252|15|Ventilator|9|49|2021-03-13|Operational|14|18681
253|33|ECG|11|4|2022-02-23|Down|43|19380
254|83|Ultrasound|12|40|2021-12-01|Down|61|12737
255|103|Ultrasound|16|11|2021-06-10|Operational|60|1338
256|137|Ultrasound|16|47|2023-09-11|Operational|19|17691
257|133|Ultrasound|12|7|2020-02-27|Operational|15|7815
258|72|XRay|14|42|2022-06-22|Operational|5|5342
259|166|MRI|12|46|2023-11-22|Operational|67|18935
260|153|XRay|10|22|2021-09-20|Operational|61|6471
261|26|MRI|17|21|2023-10-24|Down|31|1531
262|155|XRay|11|25|2023-05-16|Down|30|16827
263|95|ECG|16|34|2020-12-03|Operational|17|16115
264|67|XRay|2|35|2024-03-11|Operational|59|1235
265|2|MRI|6|48|2022-02-11|Down|42|3379
266|168|Ultrasound|1|14|2020-08-25|Down|59|18253
267|19|ICU Monitor|8|26|2022-11-24|Operational|34|15190
268|63|ECG|1|18|2024-10-11|Down|13|19837
269|66|Ventilator|19|41|2020-01-29|Operational|17|5267
270|174|XRay|9|8|2020-09-26|Down|56|13176
271|72|Ultrasound|11|15|2022-09-12|Down|55|13444
272|49|ICU Monitor|13|14|2020-06-10|Operational|53|13633
273|116|Ventilator|20|25|2021-08-21|Operational|71|3436
274|16|ICU Monitor|13|42|2024-12-20|Operational|55|2871
275|88|Ventilator|6|40|2022-03-27|Down|72|12778
276|151|Ultrasound|16|37|2022-12-02|Operational|3|10878
277|121|Ventilator|9|10|2020-05-06|Operational|59|2348
278|91|ICU Monitor|1|41|2021-06-02|Operational|30|13128
279|18|XRay|8|13|2022-01-21|Down|36|17073
280|75|MRI|3|37|2025-02-23|Operational|68|17809
281|104|Ultrasound|12|19|2024-08-23|Down|19|13121
282|30|ICU Monitor|11|19|2025-03-10|Down|39|2575
283|16|XRay|6|16|2024-10-14|Down|53|839
284|80|ICU Monitor|6|26|2024-06-18|Down|62|2133
285|41|XRay|19|28|2020-04-14|Operational|72|3140
286|102|XRay|20|41|2023-10-22|Down|3|16148
287|170|Ultrasound|11|36|2024-06-17|Down|42|3855
288|164|ICU Monitor|19|14|2022-05-15|Down|43|10347
289|97|XRay|17|43|2024-11-25|Operational|39|1044
290|26|Ultrasound|15|30|2021-08-26|Down|21|14073
291|78|ECG|20|44|2020-07-26|Operational|11|16128
292|146|Ventilator|16|39|2024-06-15|Operational|36|11477
293|8|Ultrasound|14|9|2023-02-28|Down|54|11441
294|145|XRay|11|41|2025-03-25|Operational|10|5735
295|134|ECG|3|43|2023-09-27|Operational|62|2592
296|64|ECG|15|25|2021-04-15|Down|16|11575
297|124|Ventilator|2|8|2022-04-28|Down|64|4385
298|97|ECG|1|49|2025-02-07|Operational|15|3466
299|199|MRI|8|46|2025-05-31|Operational|19|1397
300|32|MRI|7|35|2020-04-07|Down|2|9735
301|39|MRI|14|31|2021-04-26|Operational|72|6254
302|5|XRay|2|50|2021-09-02|Operational|35|18855
303|173|Ventilator|6|4|2023-05-03|Down|62|1341
304|200|Ultrasound|9|42|2023-02-23|Operational|15|12155
305|165|ICU Monitor|15|8|2024-03-06|Down|43|11145
306|147|Ventilator|13|35|2022-02-27|Down|19|12579
307|10|XRay|12|16|2021-12-13|Operational|5|15797
308|84|Ventilator|8|2|2021-06-10|Operational|2|3692
309|91|ICU Monitor|15|29|2023-05-18|Down|32|8653
310|106|Ultrasound|10|34|2020-04-05|Down|51|5391
311|120|MRI|5|40|2025-02-18|Down|59|9172
312|147|Ultrasound|19|49|2022-06-09|Down|8|12192
313|107|XRay|13|44|2020-10-22|Down|5|7826
314|165|ECG|1|5|2023-08-04|Operational|26|14253
315|185|ICU Monitor|19|30|2020-04-10|Down|72|2589
316|1|ICU Monitor|9|17|2025-03-23|Down|48|17084
317|131|Ventilator|3|47|2024-01-30|Operational|62|4814
318|4|MRI|13|8|2021-12-03|Down|23|1055
319|19|ICU Monitor|6|20|2023-04-22|Down|47|1112
320|56|MRI|17|2|2024-03-04|Operational|26|17152
321|119|Ultrasound|19|40|2022-11-30|Operational|44|10426
322|38|ECG|15|41|2023-11-05|Down|4|13609
323|198|ICU Monitor|9|29|2022-09-22|Operational|72|8417
324|102|ICU Monitor|1|16|2022-02-26|Operational|9|8421
325|130|MRI|3|41|2023-07-11|Operational|34|18278
326|63|ECG|4|26|2021-10-07|Operational|19|1121
327|142|Ventilator|18|16|2020-10-18|Operational|54|15695
328|44|ICU Monitor|8|10|2023-08-09|Down|12|14129
329|182|Ultrasound|18|3|2023-08-11|Down|40|13109
330|154|ECG|10|1|2023-02-25|Operational|47|7419
331|113|ECG|11|31|2021-03-20|Down|13|5923
332|43|MRI|9|42|2020-02-25|Down|3|7851
333|14|Ultrasound|18|33|2021-01-28|Down|36|6191
334|80|ECG|7|2|2021-11-15|Operational|12|14004
335|181|ECG|7|16|2020-12-26|Down|40|14899
336|82|Ventilator|7|20|2021-04-27|Operational|24|3186
337|36|ECG|10|49|2021-07-03|Operational|68|5051
338|177|Ultrasound|8|42|2021-07-24|Down|7|2930
339|80|MRI|19|5|2024-04-22|Operational|32|1446
340|53|XRay|8|16|2023-01-18|Down|29|1655
341|32|XRay|10|49|2020-03-12|Operational|18|16935
342|4|ICU Monitor|7|10|2020-08-13|Down|66|2692
343|95|Ventilator|9|1|2020-11-08|Operational|66|12987
344|163|ICU Monitor|13|27|2020-03-20|Down|60|11143
345|118|Ventilator|2|5|2021-04-17|Down|64|12268
346|40|ECG|16|22|2021-08-02|Down|23|8201
347|128|Ultrasound|6|18|2024-11-26|Down|71|6078
348|146|ECG|4|25|2021-03-27|Operational|10|13076
349|174|ECG|8|45|2021-03-18|Operational|38|3051
350|136|ECG|13|3|2024-10-15|Down|20|623
351|116|ICU Monitor|18|27|2021-02-09|Down|64|16418
352|147|ECG|16|42|2025-02-14|Down|12|5767
353|82|ICU Monitor|4|16|2025-05-12|Down|44|6630
354|100|Ventilator|13|46|2023-09-06|Operational|57|8618
355|25|Ultrasound|1|15|2020-01-23|Operational|65|17169
356|77|ICU Monitor|12|14|2024-10-24|Operational|5|889
357|167|XRay|12|8|2023-09-09|Operational|9|13891
358|21|XRay|3|43|2023-08-15|Operational|15|14027
359|179|Ventilator|3|27|2024-07-25|Operational|37|15058
360|174|ECG|15|24|2022-02-03|Down|21|12863
361|48|Ultrasound|14|36|2020-07-18|Operational|39|16682
362|72|XRay|18|16|2021-01-01|Operational|23|15016
363|75|Ultrasound|20|36|2020-06-19|Operational|3|13210
364|27|Ultrasound|18|32|2024-01-16|Down|13|3341
365|116|ECG|9|35|2020-09-30|Operational|42|5247
366|102|Ventilator|9|13|2024-12-15|Operational|41|1483
367|50|ICU Monitor|18|34|2021-05-29|Operational|45|15729
368|168|ECG|4|28|2020-11-20|Operational|0|11264
369|138|ICU Monitor|19|35|2025-06-19|Down|5|13646
370|96|Ventilator|17|21|2024-05-30|Operational|18|4897
371|157|Ultrasound|7|3|2022-06-08|Down|16|17047
372|50|XRay|11|1|2023-02-18|Operational|30|2652
373|14|Ultrasound|8|26|2024-01-17|Down|38|13464
374|118|XRay|13|17|2024-01-01|Operational|18|9746
375|69|Ventilator|3|2|2021-10-11|Down|47|5732
376|49|Ventilator|15|18|2021-08-08|Down|42|19802
377|72|MRI|18|13|2023-10-31|Operational|0|18246
378|36|Ultrasound|18|28|2020-12-26|Down|60|8737
379|106|Ventilator|10|9|2024-05-27|Operational|68|11241
380|173|MRI|4|16|2021-05-30|Operational|8|12877
381|63|ICU Monitor|14|22|2020-07-09|Down|14|19299
382|148|ECG|12|33|2025-01-10|Operational|14|18462
383|154|Ventilator|10|13|2024-08-07|Operational|29|18605
384|190|ECG|19|10|2021-04-03|Operational|4|19616
385|96|ICU Monitor|11|2|2023-11-05|Operational|24|14394
386|121|ECG|19|22|2024-02-05|Down|38|12316
387|144|Ultrasound|9|37|2020-08-24|Operational|66|16300
388|181|MRI|19|10|2023-08-21|Down|40|11164
389|34|XRay|2|9|2024-11-09|Down|6|12479
390|190|Ultrasound|1|3|2020-11-19|Operational|27|13135
391|152|MRI|4|28|2022-03-22|Down|10|4866
392|174|MRI|14|10|2024-08-26|Down|23|7957
393|61|Ventilator|8|22|2023-04-04|Down|27|18870
394|40|ICU Monitor|17|31|2023-01-16|Operational|70|15934
395|27|ICU Monitor|13|44|2023-12-31|Down|52|5840
396|30|ICU Monitor|11|43|2025-03-28|Operational|3|10646
397|1|ECG|5|48|2020-06-08|Down|34|9011
398|167|XRay|5|25|2023-05-27|Operational|63|8617
399|195|Ultrasound|11|20|2021-08-12|Down|41|9814
400|120|Ultrasound|2|46|2022-05-10|Operational|50|18953
401|168|MRI|2|26|2025-02-12|Down|23|7536
402|185|ECG|10|47|2020-10-20|Operational|72|17976
403|52|Ultrasound|1|27|2024-02-17|Down|61|10382
404|186|XRay|11|38|2025-04-08|Operational|3|6571
405|11|Ultrasound|8|40|2023-10-11|Down|1|1360
406|10|Ventilator|7|27|2023-11-12|Operational|5|19111
407|82|Ventilator|3|14|2022-03-29|Operational|31|6160
408|124|MRI|3|27|2023-02-20|Operational|35|16775
409|30|Ventilator|19|45|2025-02-04|Operational|62|17082
410|100|ICU Monitor|16|39|2021-11-12|Down|48|14666
411|8|Ultrasound|7|23|2021-08-27|Down|47|4571
412|63|XRay|1|30|2023-12-24|Down|29|10197
413|19|ECG|1|15|2021-03-25|Down|33|1999
414|127|MRI|7|3|2024-09-18|Operational|64|14237
415|167|XRay|15|7|2024-07-03|Operational|32|13417
416|75|XRay|4|31|2025-02-11|Operational|28|4559
417|173|Ventilator|14|36|2021-05-08|Operational|2|18895
418|123|XRay|18|36|2021-09-21|Operational|59|16410
419|57|Ultrasound|10|3|2021-11-08|Down|18|1469
420|155|ECG|2|38|2020-04-19|Operational|26|6207
421|196|ECG|15|24|2023-02-03|Down|21|12935
422|34|ECG|9|17|2022-03-14|Operational|6|18528
423|30|XRay|11|11|2025-05-29|Operational|61|2260
424|135|ECG|10|15|2024-05-04|Down|12|1869
425|7|XRay|1|50|2024-01-20|Operational|61|3726
426|123|Ventilator|17|44|2022-02-17|Down|36|17539
427|82|MRI|7|26|2020-09-12|Operational|41|13746
428|1|MRI|7|47|2022-03-07|Down|49|17963
429|108|MRI|16|20|2020-11-23|Operational|44|13667
430|32|MRI|16|42|2020-12-19|Operational|42|11951
431|186|ICU Monitor|7|8|2020-10-08|Operational|37|5316
432|119|ICU Monitor|17|48|2023-11-21|Down|48|14533
433|197|ECG|9|38|2023-12-27|Down|71|11506
434|15|Ventilator|17|16|2025-04-16|Down|45|6503
435|127|XRay|10|10|2022-12-13|Operational|19|19959
436|48|ECG|5|26|2022-12-11|Down|32|15195
437|175|MRI|18|23|2022-10-05|Down|36|13026
438|76|XRay|14|44|2020-08-08|Operational|6|11911
439|176|ECG|11|36|2020-09-18|Operational|9|13469
440|182|ICU Monitor|17|28|2023-08-19|Down|43|8476
441|21|ICU Monitor|18|5|2022-06-26|Operational|37|2875
442|100|Ventilator|17|49|2024-08-14|Down|63|11458
443|87|Ultrasound|5|39|2024-10-31|Down|3|13597
444|46|ICU Monitor|9|37|2024-07-24|Operational|22|18992
445|71|ICU Monitor|2|47|2024-12-25|Operational|14|6134
446|49|MRI|4|10|2024-05-20|Operational|38|7499
447|181|MRI|18|45|2023-09-02|Down|3|4130
448|165|XRay|6|24|2025-02-06|Operational|43|8770
449|70|Ventilator|5|6|2025-06-06|Down|21|8266
450|171|Ventilator|7|15|2020-11-20|Down|50|13573
451|98|Ventilator|10|43|2021-10-03|Down|42|7468
452|120|XRay|3|4|2024-08-04|Operational|21|2457
453|133|XRay|13|12|2022-03-31|Down|46|12149
454|8|XRay|12|47|2021-07-28|Operational|3|13317
455|73|ICU Monitor|4|7|2021-04-24|Down|61|13576
456|173|XRay|16|15|2022-03-10|Down|8|5725
457|120|Ultrasound|7|11|2023-08-21|Operational|14|8247
458|33|Ultrasound|2|15|2020-02-15|Operational|27|7708
459|63|Ventilator|4|7|2023-06-24|Operational|67|17093
460|80|ICU Monitor|3|29|2024-02-22|Down|16|7379
461|69|ICU Monitor|8|47|2021-01-14|Down|72|7521
462|11|ICU Monitor|1|10|2021-03-12|Down|61|11159
463|18|ECG|3|31|2024-10-31|Operational|27|13568
464|188|Ventilator|15|3|2023-02-20|Operational|58|3527
465|69|Ultrasound|17|3|2023-07-12|Operational|17|3088
466|28|ICU Monitor|17|5|2024-09-19|Down|45|12117
467|117|Ventilator|4|43|2020-09-21|Down|34|9017
468|71|Ventilator|1|45|2023-07-31|Down|57|12107
469|15|Ventilator|17|38|2024-08-22|Down|9|7112
470|18|Ultrasound|14|43|2021-01-30|Operational|68|12210
471|186|ECG|14|33|2020-04-10|Operational|33|13136
472|10|ICU Monitor|1|48|2020-06-29|Operational|14|3934
473|120|Ultrasound|8|32|2024-07-31|Operational|64|11858
474|80|ECG|7|9|2024-05-22|Down|46|3174
475|143|Ventilator|16|19|2023-10-12|Operational|8|19760
476|55|Ultrasound|11|48|2021-07-31|Down|12|6669
477|116|ICU Monitor|1|13|2023-06-23|Down|34|2155
478|194|ICU Monitor|6|41|2020-12-07|Operational|0|10664
479|195|ICU Monitor|15|36|2021-05-07|Down|60|15415
